tokens,token_n,N_1,new
;,2,2,0
or,3,3,0
",",4,4,0
THE,5,5,0
WHALE,6,6,0
.,7,7,0
By,8,8,0
Herman,9,9,0
Melville,10,10,0
CONTENTS,11,11,0
ETYMOLOGY,12,12,0
.,13,13,1
EXTRACTS,14,14,0
(,15,15,0
Supplied,16,16,0
by,17,17,0
a,18,18,0
Sub-Sub-Librarian,19,19,0
),20,20,0
.,21,21,1
CHAPTER,22,22,0
1,23,23,0
.,24,24,1
Loomings,25,25,0
.,26,26,1
CHAPTER,27,27,1
2,28,28,0
.,29,29,1
The,30,30,0
Carpet-Bag,31,31,0
.,32,32,1
CHAPTER,33,33,1
3,34,34,0
.,35,35,1
The,36,36,1
Spouter-Inn,37,37,0
.,38,38,1
CHAPTER,39,39,1
4,40,40,0
.,41,41,1
The,42,42,1
Counterpane,43,43,0
.,44,44,1
CHAPTER,45,45,1
5,46,46,0
.,47,47,1
Breakfast,48,48,0
.,49,49,1
CHAPTER,50,50,1
6,51,51,0
.,52,52,1
The,53,53,1
Street,54,54,0
.,55,55,1
CHAPTER,56,56,1
7,57,57,0
.,58,58,1
The,59,59,1
Chapel,60,60,0
.,61,61,1
CHAPTER,62,62,1
8,63,63,0
.,64,64,1
The,65,65,1
Pulpit,66,66,0
.,67,67,1
CHAPTER,68,68,1
9,69,69,0
.,70,70,1
The,71,71,1
Sermon,72,72,0
.,73,73,1
CHAPTER,74,74,1
10,75,75,0
.,76,76,1
A,77,77,0
Bosom,78,78,0
Friend,79,79,0
.,80,80,1
CHAPTER,81,81,1
11,82,82,0
.,83,83,1
Nightgown,84,84,0
.,85,85,1
CHAPTER,86,86,1
12,87,87,0
.,88,88,1
Biographical,89,89,0
.,90,90,1
CHAPTER,91,91,1
13,92,92,0
.,93,93,1
Wheelbarrow,94,94,0
.,95,95,1
CHAPTER,96,96,1
14,97,97,0
.,98,98,1
Nantucket,99,99,0
.,100,100,1
CHAPTER,101,101,1
15,102,102,0
.,103,103,1
Chowder,104,104,0
.,105,105,1
CHAPTER,106,106,1
16,107,107,0
.,108,108,1
The,109,109,1
Ship,110,110,0
.,111,111,1
CHAPTER,112,112,1
17,113,113,0
.,114,114,1
The,115,115,1
Ramadan,116,116,0
.,117,117,1
CHAPTER,118,118,1
18,119,119,0
.,120,120,1
His,121,121,0
Mark,122,122,0
.,123,123,1
CHAPTER,124,124,1
19,125,125,0
.,126,126,1
The,127,127,1
Prophet,128,128,0
.,129,129,1
CHAPTER,130,130,1
20,131,131,0
.,132,132,1
All,133,133,0
Astir,134,134,0
.,135,135,1
CHAPTER,136,136,1
21,137,137,0
.,138,138,1
Going,139,139,0
Aboard,140,140,0
.,141,141,1
CHAPTER,142,142,1
22,143,143,0
.,144,144,1
Merry,145,145,0
Christmas,146,146,0
.,147,147,1
CHAPTER,148,148,1
23,149,149,0
.,150,150,1
The,151,151,1
Lee,152,152,0
Shore,153,153,0
.,154,154,1
CHAPTER,155,155,1
24,156,156,0
.,157,157,1
The,158,158,1
Advocate,159,159,0
.,160,160,1
CHAPTER,161,161,1
25,162,162,0
.,163,163,1
Postscript,164,164,0
.,165,165,1
CHAPTER,166,166,1
26,167,167,0
.,168,168,1
Knights,169,169,0
and,170,170,0
Squires,171,171,0
.,172,172,1
CHAPTER,173,173,1
27,174,174,0
.,175,175,1
Knights,176,176,1
and,177,177,1
Squires,178,178,1
.,179,179,1
CHAPTER,180,180,1
28,181,181,0
.,182,182,1
Ahab,183,183,0
.,184,184,1
CHAPTER,185,185,1
29,186,186,0
.,187,187,1
Enter,188,188,0
Ahab,189,189,1
;,190,190,1
to,191,191,0
Him,192,192,0
",",193,193,1
Stubb,194,194,0
.,195,195,1
CHAPTER,196,196,1
30,197,197,0
.,198,198,1
The,199,199,1
Pipe,200,200,0
.,201,201,1
CHAPTER,202,202,1
31,203,203,0
.,204,204,1
Queen,205,205,0
Mab,206,206,0
.,207,207,1
CHAPTER,208,208,1
32,209,209,0
.,210,210,1
Cetology,211,211,0
.,212,212,1
CHAPTER,213,213,1
33,214,214,0
.,215,215,1
The,216,216,1
Specksnyder,217,217,0
.,218,218,1
CHAPTER,219,219,1
34,220,220,0
.,221,221,1
The,222,222,1
Cabin-Table,223,223,0
.,224,224,1
CHAPTER,225,225,1
35,226,226,0
.,227,227,1
The,228,228,1
Mast-Head,229,229,0
.,230,230,1
CHAPTER,231,231,1
36,232,232,0
.,233,233,1
The,234,234,1
Quarter-Deck,235,235,0
.,236,236,1
CHAPTER,237,237,1
37,238,238,0
.,239,239,1
Sunset,240,240,0
.,241,241,1
CHAPTER,242,242,1
38,243,243,0
.,244,244,1
Dusk,245,245,0
.,246,246,1
CHAPTER,247,247,1
39,248,248,0
.,249,249,1
First,250,250,0
Night-Watch,251,251,0
.,252,252,1
CHAPTER,253,253,1
40,254,254,0
.,255,255,1
Midnight,256,256,0
",",257,257,1
Forecastle,258,258,0
.,259,259,1
CHAPTER,260,260,1
41,261,261,0
.,262,262,1
Moby,263,263,0
Dick,264,264,0
.,265,265,1
CHAPTER,266,266,1
42,267,267,0
.,268,268,1
The,269,269,1
Whiteness,270,270,0
of,271,271,0
the,272,272,0
Whale,273,273,0
.,274,274,1
CHAPTER,275,275,1
43,276,276,0
.,277,277,1
Hark,278,278,0
!,279,279,0
CHAPTER,280,280,1
44,281,281,0
.,282,282,1
The,283,283,1
Chart,284,284,0
.,285,285,1
CHAPTER,286,286,1
45,287,287,0
.,288,288,1
The,289,289,1
Affidavit,290,290,0
.,291,291,1
CHAPTER,292,292,1
46,293,293,0
.,294,294,1
Surmises,295,295,0
.,296,296,1
CHAPTER,297,297,1
